taxon_name,APC_name,genus,family
Juncus vaginatus,Juncus vaginatus R.Br.,Juncus,Juncaceae
Lachnagrostis aemula,Lachnagrostis aemula (R.Br.) Trin.,Lachnagrostis,Poaceae
Lepidosperma lineare,Lepidosperma lineare R.Br.,Lepidosperma,Cyperaceae
Lomandra fluviatilis,Lomandra fluviatilis (R.Br.) A.T.Lee,Lomandra,Asparagaceae
Maireana microphylla,Maireana microphylla (Moq.) Paul G.Wilson,Maireana,Chenopodiaceae
Microtis sp.,not found,,
Mitrasacme polymorpha,Mitrasacme polymorpha R.Br.,Mitrasacme,Loganiaceae
Omphacomeria acerba,Omphacomeria acerba (R.Br.) A.DC.,Omphacomeria,Santalaceae
Opercularia aspera,Opercularia aspera Gaertn.,Opercularia,Rubiaceae
Panicum effusum,Panicum effusum R.Br.,Panicum,Poaceae
Parsonsia straminea,Parsonsia straminea (R.Br.) F.Muell.,Parsonsia,Apocynaceae
Paspalidium aversum,Paspalidium aversum Vickery,Paspalidium,Poaceae
Paspalum vaginatum,Paspalum vaginatum Sw.,Paspalum,Poaceae
Picris angustifolia,Picris angustifolia DC.,Picris,Asteraceae
Plantago varia,Plantago varia R.Br.,Plantago,Plantaginaceae
Poa affinis,Poa affinis R.Br.,Poa,Poaceae
Poa labillardierei,Poa labillardierei Steud.,Poa,Poaceae
Polygala japonica,Polygala japonica Houtt.,Polygala,Polygalaceae
Pomaderris ferruginea,Pomaderris ferruginea Sieber ex Fenzl,Pomaderris,Rhamnaceae
Pomaderris lanigera,Pomaderris lanigera (Andrews) Sims,Pomaderris,Rhamnaceae
Pultenaea retusa,Pultenaea retusa Sm.,Pultenaea,Fabaceae
Ranunculus lappaceus,Ranunculus lappaceus Sm.,Ranunculus,Ranunculaceae
Rytidosperma bipartitum,Rytidosperma bipartitum (Link) A.M.Humphreys & H.P.Linder,Rytidosperma,Poaceae
Rytidosperma longifolium,Rytidosperma longifolium (R.Br.) Connor & Edgar,Rytidosperma,Poaceae
Rytidosperma racemosum,Rytidosperma racemosum (R.Br.) Connor & Edgar,Rytidosperma,Poaceae
Senecio bathurstianus,Senecio bathurstianus (DC.) Sch.Bip.,Senecio,Asteraceae
Senecio linearifolius,Senecio linearifolius A.Rich.,Senecio,Asteraceae
Senecio quadridentatus,Senecio quadridentatus Labill.,Senecio,Asteraceae
Sphaeromorphaea australis,Sphaeromorphaea australis (Less.) Kitam.,Sphaeromorphaea,Asteraceae
Sporobolus elongatus,Sporobolus elongatus R.Br.,Sporobolus,Poaceae
Syncarpia glomulifera,Syncarpia glomulifera (Sm.) Nied.,Syncarpia,Myrtaceae
Thelymitra pauciflora,Thelymitra pauciflora R.Br.,Thelymitra,Orchidaceae
Tricoryne elatior,Tricoryne elatior R.Br.,Tricoryne,Hemerocallidaceae
Tricoryne simplex,Tricoryne simplex R.Br.,Tricoryne,Hemerocallidaceae
Typha domingensis,Typha domingensis Pers.,Typha,Typhaceae
Urochloa foliosa,Urochloa foliosa (R.Br.) R.D.Webster,Urochloa,Poaceae
Veronica calycina,Veronica calycina R.Br.,Veronica,Plantaginaceae
Viola betonicifolia,Viola betonicifolia Sm.,Viola,Violaceae
Vittadinia muelleri,Vittadinia muelleri N.T.Burb.,Vittadinia,Asteraceae
Wahlenbergia capillaris,Wahlenbergia capillaris (G.Lodd.) G.Don,Wahlenbergia,Campanulaceae
Wahlenbergia stricta,Wahlenbergia stricta (R.Br.) Sweet,Wahlenbergia,Campanulaceae
