"genus_root","taxon_name","original_text","text","life_history_a","life_history_f","parasitic_a","parasitic_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f","woodiness_a","woodiness_f","source"
"Acacia","Acacia brownii","Closely related to A. ulicifolia but distinguished in the following ways: Sprawling commonly semi-prostrate shrub less than 1 m high. Branchlets glabrous or sparsely hirsutellous. Stipules frequently caducous, usually less than 1 mm long. Phyllodes often distant, linear, slender, quadrangular-terete to flat with a pronounced midrib, 8-25 mm long, neither broadening nor with a gland-angle at base. Flower-heads bright golden to deep golden."," closely related to ulicifolia but distinguished in the following ways: sprawling commonly semi-prostrate shrub less than 1 m high. ","perennial","inferred_from_growth_form","","","shrub","shrub","","","","","prostrate sprawling","prostrate sprawling","woody","inferred_from_growth_form","Flora_of_Australia"
"Acacia","Acacia brownii","Description: Erect or spreading shrub 0.3-1 m high; branchlets ± terete, glabrous or sparsely hairy. Stipules subulate, c. 1 mm long. Phyllodes ± rigid, ± straight, terete or 4-angled, 0.8-2 cm long, to c. 1 mm wide, glabrous, midvein prominent, apex pungent-pointed; 1 obscure gland along margin; pulvinus obscure. Inflorescences simple, 1 in axil of phyllodes; peduncles 4-15 mm long, usually glabrous; heads globose, 12-30-flowered, 5-10 mm diam., bright yellow. Pods ± curved, ± flat, slightly or irregularly more deeply constricted between seeds, 1.5-8 cm long, 3-5 mm wide, leathery, often brittle with age, ± smooth to wrinkled, glabrous; seeds longitudinal; funicle filiform."," erect or spreading shrub 0.3-1 m high; ","perennial","inferred_from_growth_form","","","shrub","shrub","","","","","erect spreading","erect spreading","woody","inferred_from_growth_form","PlantNET_flora"
"Acacia","Acacia brownii","Similar to A. ulicifolia but distinguished in the following ways. Sprawling, commonly semi-prostrate shrub, less than 1 m high; branchlets glabrous or with sparse, minute hairs. Phyllodes linear, 8-25 mm long, quadrangular-terete to flat with a pronounced midrib, neither broadening nor with a gland-angle at base, often distant, slender; stipules frequently deciduous, usually less than 1 mm long. Heads bright golden to deep golden. Flowers Jul.-Nov."," similar to ulicifolia but distinguished in the following ways. sprawling, commonly semi-prostrate shrub, less than 1 m high; ","perennial","inferred_from_growth_form","","","shrub","shrub","","","","","prostrate sprawling","prostrate sprawling","woody","inferred_from_growth_form","VIC_flora"
"Acacia","Acacia decurrens","Tall shrub to tree to 10 (-15) m high. Bark smooth or fissured, brown, greyish black or black, with conspicuous internodal flange marks. Branchlets with winged ridges 0.5-2 mm high, glabrous or sparsely appressed-puberulous. Young foliage-tips light green or greenish yellow to yellow when pubescent. Leaves dark green; petiole above pulvinus (0.7-) 1.5-2.8 cm long, angular, with a prominent orbicular gland mostly at base of or up to c. 7 mm below basal pinnae; rachis 2-12 cm long, angular, furrowed, with orbicular jugary glands at all pairs of pinnae; interjugary glands absent; pinnae 3-13 pairs, (2.5-) 4-7 (-9) cm long; pinnules 15-45 pairs, widely spaced, linear, 5-15 mm long, 0.4-0.8 mm wide, glabrous or rarely sparsely appressed-ciliate, obtuse or subacute. Inflorescences in axillary elongated racemes or terminal false-panicles; peduncles 3-7 mm long. Heads globular, 20-32-flowered, golden. Pods straight-sided to irregularly and mostly slightly constricted between seeds, 2-10.5 cm long, 4-8.5 mm wide, subcoriaceous, smooth, brown or dark brown, glabrous."," tall shrub to tree to 10 (-15) m high. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","Flora_of_Australia"
"Acacia","Acacia decurrens","General Biology. Growth form. Small tree. Reproduction. Seed. Dispersal. Water, birds, ants, wind, garden refuse, soil movement. Vegetative regeneration strategy. Resprouts. Seedbank persistence. Long, 5+ years. Fire response. Fire stimulates mass germination of soil stored seed. Adult plants can resprout from base following fire."," general biology. growth form. small tree. reproduction. seed. dispersal. adult plants can resprout from base following fire. ","perennial","inferred_from_growth_form","","","tree","tree","","","","","","","woody","inferred_from_growth_form","Florabase_long"
"Acacia","Acacia decurrens","Tree, 2-10 m high. Fl. yellow, Jul to Sep. Roadsides, creeklines & wasteland."," tree, 2-10 m high. ","perennial","inferred_from_growth_form","","","tree","tree","","","","","","","woody","inferred_from_growth_form","Florabase_short"
"Acacia","Acacia decurrens","Description: Tall shrub to small tree 3-10 m high or sometimes taller; bark smooth to deeply fissured, brown or dark grey to blackish; branchlets angled with winged ridges which are decurrent with the petioles, glabrous or sparsely hairy with minute appressed hairs. Leaves with petiole 0.7-2.8 cm long, 1 gland at base of or to c. 7 mm below lowest pair of pinnae; rachis 2-12 cm long, glabrous or sparsely appressed-hairy, jugary glands present, interjugary glands absent; pinnae 3-13 pairs, mostly 4-7 cm long (range: 2.5-9 cm long); pinnules 15-45 pairs, linear, mostly 5-15 mm long and 0.4-0.8 mm wide, glabrous or rarely sparsely appressed-ciliate. Inflorescences in axillary and terminal panicles and/or racemes; peduncles 2-5 mm long, glabrous or hairy; heads globose, 20-32-flowered, 4-7 mm diam., yellow to bright yellow. Pods straight to slightly curved, ± flat, straight-sided to irregularly and mostly slightly constricted between seeds, 2-10.5 cm long, 5-8.5 mm wide, thinly leathery, ± glabrous; seeds longitudinal; funicle filiform or expanded towards seed."," tall shrub to small tree 3-10 m high or sometimes taller; ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","PlantNET_flora"
"Acacia","Acacia decurrens","Description: Medium sized trees 10-15 m high, canopy conical or rounded, dark green; branchlets prominently angled with wing-like ridges, smooth, dark grey on the trunk. Leaves bipinnate, dark green decurrent; petiole angular, 1.5-2.5 cm long; rachis angular, 4-12 cm long with a raised gland just below the junction of each pinnae pair; pinnae 5-15 pairs; pinnules 15-35 pairs which are well separated from each other, linear, 5-14 mm long, 0.5-0.75 mm broad, usually glabrous. Inflorescences racemose or panicled; flower-heads globular, bright yellow, 25-30-flowered; peduncles glabrous or with a few scattered hairs, 3-6 mm long; flowers 5-merous. Legumes linear, 4-10 cm long, 5-6 mm broad, straight or slightly curved, raised over seeds, dark brown, glabrous, margins slightly constricted between seeds. Seeds longitudinal in legume, ellipsoid; funicle short, expanded into a small aril."," medium sized trees 10-15 m high, canopy conical or rounded, dark green; ","perennial","inferred_from_growth_form","","","tree","trees","","","","","","","woody","inferred_from_growth_form","SA_flora"
"Acacia","Acacia decurrens","Tree 10-15 m tall; bark deeply fissured, dark grey to black; branchlets prominently angled, with wing-like ridges, glabrous except for new tips. Leaves bipinnate, dark green, decurrent; rachis 4-12 cm long, angular, glabrous (minutely hairy when young), with a raised gland just below the junction of each pinna pair; pinnae in 5-15 pairs; pinnules in 15-40 pairs, well-separated, linear, 5-15 mm long, 0.5-0.8 mm wide, within a single pinna more or less equal in length, glabrous (minutely hairy when young), apex more or less rounded. Inflorescence a raceme or panicle; heads globular, 20-30-flowered, bright yellow, peduncles 4-7 mm long. Pod flattish, straight or slightly curved, 5-10 cm long, 4-11 mm wide, slightly constricted, dark brown, margins thickened. Flowers Jul.-Sep."," tree 10-15 m tall; ","perennial","inferred_from_growth_form","","","tree","tree","","","","","","","woody","inferred_from_growth_form","VIC_flora"
"Acacia","Acacia falcata","Slender shrub or tree 2-5 m high. Branchlets acutely angled at extremities, red-brown, commonly lightly pruinose, glabrous. Phyllodes falcate, broadest above middle, much-narrowed at base, 7-19 cm long, 1-4 cm wide, thin, grey-green to glaucous, sometimes green, glabrous, with excentric midrib, obscurely penniveined; gland not prominent, 0-5 mm above pulvinus; pulvinus c. 5 mm long. Inflorescences 9-22-headed racemes; raceme axes normally 2-6 cm long, sparsely to moderately ± appressed-puberulous, with hairs white or light golden and sometimes absent in fruit; peduncles 3-4 mm long, with indumentum as on raceme axes; heads globular, 15-20-flowered, creamy white. Flowers 5-merous; sepals ± free. Pods linear, to 12 cm long, 5-8 mm wide, firmly chartaceous, blackish, often lightly pruinose, glabrous. Seeds longitudinal, oblong to ovate-elliptic, 3.5-4.5 mm long, somewhat shiny, black; funicle encircling seed in a single fold, light brown; aril clavate."," slender shrub or tree 2-5 m high. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","Flora_of_Australia"
"Acacia","Acacia falcata","Description: Erect or spreading tree or shrub 2-5 m high; bark smooth or finely fissured or sometimes deeply fissured, grey to black, sometimes mottled; branchlets angled or flattened, glabrous. Phyllodes narrowly elliptic to oblanceolate, ± falcate, 7-19 cm long, 9-40 mm wide, glabrous, grey-green to glaucous, sometimes green, with a prominent midvein, finely and usually obscurely penniveined, apex obtuse to subacute; 1 inconspicuous gland near base; pulvinus 2-6 mm long. Inflorescences c. 6-20 in racemes, or sometimes in panicles; axis 1-7 cm long; peduncles 3-4 mm long, ± appressed-hairy; heads globose, 12-20-flowered, 3-4.5 diam., pale yellow to cream-coloured. Pods straight to slightly curved, ± flat, mostly straight-sided to barely constricted between seeds, 4.5-12 cm long, 5-8 mm wide, thinly leathery, glabrous, often ± pruinose; seeds longitudinal; funicle expanded towards seed."," erect or spreading tree or shrub 2-5 m high; ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","erect spreading","erect spreading","woody","inferred_from_growth_form","PlantNET_flora"
"Acacia","Acacia fimbriata","Shrub or tree to 6 m high. Branchlets slender, with indumentum of short, spreading to appressed hairs often confined to the fine ribs, sometimes glabrous. Phyllodes linear to narrowly oblong-elliptic or narrowly lanceolate, usually 2-5 cm long and 2-5 mm wide with l: w ratio = 5-25, acute to obtuse-mucronulate, thin, sparsely to densely fimbriolate with appressed hairs, sometimes glabrous; midrib fine; lateral veins few and obscure; glands 1, rarely 2, ± prominent but not or only slightly exserted, with the lowermost 1-6 mm above pulvinus. Inflorescences racemose; raceme axes 1.5-7.5 cm long, slender, glabrous or hairy; peduncles 1.5-5 mm long, slender, glabrous or hairy; heads showy, globular, 8-20-flowered, usually bright golden. Flowers 5-merous; sepals c. ¾-united, often partially separating with age. Pods to 8 cm long, 5-9 mm wide, firmly chartaceous, commonly pruinose, glabrous. Seeds longitudinal, oblong-elliptic, 4-5 mm long, subshiny, black; aril clavate."," shrub or tree to 6 m high. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","Flora_of_Australia"
"Acacia","Acacia fimbriata","Description: Erect or spreading shrub or tree to 6 m high; branchlets angled or flattened towards apices, with antrorse, spreading to appressed, white-hyaline hairs along ridges or glabrous. Phyllodes ± linear to very narrowly elliptic or narrowly lanceolate, straight or slightly curved, 2-5 cm long, 2-5 (-7) mm wide, ± appressed hairy on margins (sometimes glabrous), midvein fine and ± prominent, lateral veins few and faint, apex acute with a straight mucro; 1 ± prominent gland 1-7 mm above pulvinus, sometimes a second gland; pulvinus < 2 mm long. Inflorescences 8-25 in an axillary raceme; axis 1.5-7.5 cm long; peduncles usually 2-5 mm long, glabrous or minutely hairy; heads globose, 10-20-flowered, 3-5 mm diam., bright yellow, sometimes paler yellow. Pods straight to slightly curved, ± flat, ± straight-sided to slightly and often irregularly more deeply constricted between seeds, 3-9.5 cm long, 5-8.5 mm wide, firmly papery, glabrous, ± pruinose; seeds longitudinal; funicle filiform."," erect or spreading shrub or tree to 6 m high; ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","erect spreading","erect spreading","woody","inferred_from_growth_form","PlantNET_flora"
"Acacia","Acacia fimbriata","Erect or spreading shrub or tree to c. 6 m high; branchlets angled or flattened, glabrous or hairy on ribs. Phyllodes linear to narrowly oblong-elliptic or lanceolate, 2-5(-7) cm long, 1.5-5 mm wide, acute to obtuse-mucronate, ± appressed hairy on margins, sometimes glabrous, midrib fine, lateral veins few and obscure; glands 1, rarely 2, the lowermost 1-7 mm above the pulvinus, usually submerged and swollen within the lamina. Racemes with rachis 1.5-7.5 cm long, slender, glabrous or hairy; peduncles 1.5-5 mm long, slender, glabrous or hairy; heads globular, 8-20-flowered, usually bright golden. Flowers 5-merous; sepals united. Pods to 9.5 cm long, 5-9 mm wide, firmly chartaceous, commonly pruinose, glabrous; seeds longitudinal, oblong-elliptic, 4-5 mm long, subshiny, black, aril clavate. Flowers Aug.-Nov."," erect or spreading shrub or tree to circa 6 m high; ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","erect spreading","erect spreading","woody","inferred_from_growth_form","VIC_flora"
"Acacia","Acacia implexa","Tree 3-15 m high, often gregarious due to suckering; bipinnate leaves may persist on young plants. Bark rough, greyish. Branchlets terete, not prominently ribbed, commonly lightly pruinose, glabrous. Phyllodes narrowly elliptic, falcate, 7-20 cm long, 6-25 mm wide, much-narrowed at base, acute to acuminate, sometimes ± obtuse, thinly coriaceous, green, glabrous, with 3-7 main veins and numerous longitudinally anastomosing minor veins in between. Inflorescences 4-8-headed racemes; raceme axes 10-45 mm long, glabrous; peduncles 6-15 mm long; heads globular, 5-6 mm diam., 30-52-flowered, cream to pale yellow. Flowers 5-merous; sepals ¾-united. Pods linear, coiled and twisted, to 25 cm long, 4-7 mm wide, ± woody or thickly coriaceous, glabrous. Seeds longitudinal, oblong-oval, 4-5 mm long, subglossy, dark brown; funicle/aril fleshy, white, folded beneath the seed."," tree 3-15 m high, ","perennial","inferred_from_growth_form","","","tree","tree","","","","","","","woody","inferred_from_growth_form","Flora_of_Australia"
"Acacia","Acacia implexa","Description: Erect or spreading tree 5-12 m high, often suckers freely; bark hard, smooth becoming corrugated or fissured at base, greyish or brownish; branchlets terete or rarely angled, glabrous, commonly lightly pruinose. Phyllodes narrowly elliptic to very narrowly elliptic, subfalcate or falcate, 7-18 cm long, 6-25 mm wide, glabrous, 3-7 longitudinal veins prominent, numerous longitudinally anastomosing minor veins between, apex acute or subacute with a mucro; 1 inconspicuous gland at base; pulvinus 1-5 mm long. Inflorescences 4-8 in an axillary raceme; axis usually 2-6 cm long; peduncles 6-13 mm long, finely hairy; heads globose, 30-50-flowered, 5-10 mm diam., pale yellow to ± white. Pods curved to twisted or coiled, raised over seeds, barely to slightly or variably more deeply constricted between seeds, 6-20 cm long, 4-7 mm wide, firmly papery to leathery, ± smooth, glabrous, often slightly pruinose; seeds longitudinal; funicle whitish, folded below seed."," erect or spreading tree 5-12 m high, often suckers freely; ","perennial","inferred_from_growth_form","","","tree","tree","","","","","erect spreading","erect spreading","woody","inferred_from_growth_form","PlantNET_flora"
"Acacia","Acacia implexa","Shrub or small tree, 3-15 m high, often suckering; branchlets angular and commonly lightly pruinose, becoming terete with slight ridges, glabrous. Phyllodes descending, usually falcate, 7-20 cm long, 6-25 mm wide, broadest near or below middle, chartaceous to thin-coriaceous, glabrous, acute to acuminate, tip sometimes callose and curved to circinate; main veins 3, slightly raised, distant, with numerous, smaller, frequently anastamosing veins. Racemes 4-8-headed, rachis 10-45 mm long; peduncles 6-15 mm long, glabrous; heads globular, 5-6 mm diam., 30-52-flowered, cream to pale yellow. Flowers 5-merous; sepals three-quarters united, lobes fimbriate. Pods linear, to 25 cm long, 4-7 mm wide, somewhat woody or thick-coriaceous, twisted and coiled, margins thickened; seeds longitudinal, oblong-oval, 4-5 mm long, semi-glossy, dark-brown, funicle aril fleshy, white, in 1 or 2 loops over apex of seed. Flowers Dec.-Mar."," shrub or small tree, 3-15 m high, ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","VIC_flora"
"Acacia","Acacia longifolia","Shrub or erect tree, (0.5-) 1-10 m high, 1-25 m wide, spreading. Branchlets glabrous. Stipules deltate, less than 1 mm long or obscure. Phyllodes elliptic to very narrowly elliptic (to ±linear), sometimes obovate to oblanceolate, 4-25 cm long, 10-35 mm wide, acute to rounded-obtuse, sometimes abruptly contracted at apex into mucro, with 2-4 prominent primary veins; secondary veins frequently anastomosing, prominent; margin yellow; gland (1-) 3-8 (-10) mm above pulvinus; pulvinus 2-4 mm long. Inflorescences simple, solitary or twinned; receptacles glabrous; spikes 2-5 cm long; peduncles mostly ±absent; bracteoles caducous, cucullate, 0.3-0.5 mm long, with ciliate margin. Flowers 4-merous; sepals united. Pods cylindrical or subcylindrical, sometimes ±moniliform, 5-15 cm long, 3-6 (-7) mm wide, commonly firmly coriaceous. Seeds elliptic, sometimes irregularly shaped, 4-6 mm long, shiny; funicle folded several times into a thickened lateral skirt-like aril."," shrub or erect tree, (0.5-) 1-10 m high, 1-25 m wide, spreading. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","erect spreading","erect spreading","woody","inferred_from_growth_form","Flora_of_Australia"
"Acacia","Acacia longifolia","General Biology. Growth form. Shrub/Small tree. Reproduction. Seed. Dispersal. Water, bird, ants, soil movement, garden refuse. Time to first flowering. 2 years. Toxicity. Cyanides in the leaves can lead to stock poisoning. Vegetative regeneration strategy. Occasionally resprouts. Does not produce root suckers. Seedbank persistence. Long, 10+ years. Fire response. Fire stimulates mass germination of soil stored seed."," general biology. growth form. shrub/small tree. reproduction. seed. dispersal. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","Florabase_long"
"Acacia","Acacia longifolia","Shrub or tree, 0.2-10 m high. Fl. yellow, Jul to Sep. Sand, loam, gravel, laterite. Sloping ground, foreshores."," shrub or tree, 0.2-10 m high. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","Florabase_short"
"Acacia","Acacia longifolia","Description: Shrub or tree to 8 m high; bark smooth or finely fissured, greyish; branchlets angled towards apices, glabrous or sparsely appressed-hairy on new growth. Phyllodes ± straight or sometimes slightly curved, 4-20 cm long, 4-30 mm wide, ± glabrous, several longitudinal veins prominent, minor veins longitudinally anastomosing, apex acute to obtuse with a mucro; 1 gland near base; pulvinus 3-5 mm long. Inflorescences 1 or 2 in axil of phyllodes; peduncles 0-2 mm long, glabrous; heads cylindrical, 2-4.5 cm long, bright yellow or sometimes paler. Pods straight to strongly twisted, raised over and slightly, or sometimes more deeply, constricted between seeds (± terete when fresh), usually 4-15 cm long (sometimes to 19 cm long), 2.5-6 mm wide, thinly leathery or firmly papery and brittle when dry, longitudinally ridged-wrinkled when dry, glabrous or sparsely hairy; seeds longitudinal; funicle folded and thickening into a large aril."," shrub or tree to 8 m high; ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","PlantNET_flora"
